Metric,Value
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19973
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19997
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000267482
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000318574
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000313682
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000318574
design_powergrid__voltage__worst,0.000318574
design_powergrid__voltage__worst__net:VPWR,1.19973
design_powergrid__drop__worst,0.000318574
design_powergrid__drop__worst__net:VPWR,0.000267482
design_powergrid__voltage__worst__net:VGND,0.000318574
design_powergrid__drop__worst__net:VGND,0.000318574
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000028399999999999999138362849482319916205597110092639923095703125
ir__drop__worst,0.000266999999999999984741372305308004797552712261676788330078125
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
