Metric,Value
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,4.01344E-7
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000315607
design_powergrid__voltage__worst,0.0000315607
design_powergrid__voltage__worst__net:VPWR,1.19998
design_powergrid__drop__worst,0.0000315607
design_powergrid__drop__worst__net:VPWR,0.0000192294
design_powergrid__voltage__worst__net:VGND,0.0000315607
design_powergrid__drop__worst__net:VGND,0.0000315607
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,4.13999999999999974912971191509658552831751876510679721832275390625E-7
ir__drop__worst,0.0000191999999999999991311637470570161667637876234948635101318359375
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
