Metric,Value
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.1959
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19995
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00410018
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000444819
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000224211
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000444819
design_powergrid__voltage__worst,0.000444819
design_powergrid__voltage__worst__net:VPWR,1.1959
design_powergrid__drop__worst,0.00410018
design_powergrid__drop__worst__net:VPWR,0.00410018
design_powergrid__voltage__worst__net:VGND,0.000444819
design_powergrid__drop__worst__net:VGND,0.000444819
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0000460000000000000000359955121265187472090474329888820648193359375
ir__drop__worst,0.004100000000000000345556916414579973206855356693267822265625
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
