Metric,Value
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19665
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19991
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00335138
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000880571
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000072982
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000880571
design_powergrid__voltage__worst,0.000880571
design_powergrid__voltage__worst__net:VPWR,1.19665
design_powergrid__drop__worst,0.00335138
design_powergrid__drop__worst__net:VPWR,0.00335138
design_powergrid__voltage__worst__net:VGND,0.000880571
design_powergrid__drop__worst__net:VGND,0.000880571
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00008919999999999999977517983751340580056421458721160888671875
ir__drop__worst,0.0033500000000000001131039706336878225556574761867523193359375
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
